EBNK_MED_DSC,COPR_DS,E_FNC_USR_OS_DSC,E_FNC_LGIN_DSC,NBNK_C,RMS_SVC_C,E_FNC_USR_DVIC_INF_CNTN,E_FNC_USR_ACS_DSC,Amount,E_FNC_TR_ACNO_C,IO_EA_DD1_FTR_LMT3,IO_EA_TM1_FTR_LMT3,IO_EA_PW_CD_DS2,PRE_ASSIGN_YN,SMS_AUTHEN_YN,EXCEPT_REGIST,ATTC_DS,FTR_DS2,RV_AC_DGN_YN2,IO_EA_DPZ_PL_IMP_BAC,IO_EA_TOT_BAC6,IO_EA_RMT_FEE1,securityMediaType,workType,workGbn,country,doaddress,pc_isWinFirewall,sm_deviceModel,sm_osVersion,sm_service,sm_locale,sm_network,sm_jailBreak,sm_wifiApSsid,sm_mobileAPSsid,processState,pc_foresicInfo,isNewAccount
22,0,5,0,0,EAOPCA07I0,iPhone 7,99,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,2,1,KR,11,0,N,N,N,N,N,-1,N,N,0,0,0
21,0,4,3,0,EAIPROGGR0,SM-G977N,99,0,0,50000,10000,11,0,3,0,0,2,1,0,0,0,5,CERT,1,KR,11,1,SM-G977N,11,Uyou,ko_KR,WIFI,-1,<unknown ssid>,N,0,0,0
21,0,4,3,0,EAIPROGGR0,SM-G977N,99,0,0,50000,10000,11,0,3,0,0,2,1,0,0,0,5,CERT,1,KR,11,1,SM-G977N,11,Uyou,ko_KR,WIFI,-1,<unknown ssid>,N,1,0,0
21,0,4,3,0,EAIPROGGR0,SM-G960N,99,0,0,50000,10000,11,0,3,0,0,2,1,0,0,0,5,CERT,1,KR,18,1,SM-G960N,10,KT,ko_KR,WIFI,-1,<unknown ssid>,KT,0,0,0
22,0,5,0,0,EAIPROGGR0,iPhone X,99,0,0,50000,10000,11,0,0,0,6,1,1,0,0,0,5,CERT,2,KR,11,1,"iPhone10,6",14.4.2,ñé??÷×,ko_KR,WIFI,0,N,ñé??÷×,1,0,0
21,0,4,3,0,EAIPROGGR0,SM-G960N,99,0,0,50000,10000,11,0,3,0,0,2,1,0,0,0,5,CERT,1,KR,18,1,SM-G960N,10,KT,ko_KR,WIFI,-1,<unknown ssid>,KT,0,0,0
22,0,5,0,0,EAOPCA07I0,iPhone X,99,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,2,1,KR,11,0,N,N,N,N,N,-1,N,N,0,0,0
22,0,2,3,0,EAIPROGGR0,iPhone X,99,0,0,50000,10000,11,0,3,0,0,2,1,0,0,0,5,CERT,1,KR,11,1,"iPhone10,3",14.7.1,KT,ko_KR,WIFI,0,N,KT,1,0,0
21,0,4,3,0,EAIPROGGR0,SM-G960N,99,0,0,50000,10000,0A,0,3,0,0,2,1,0,0,0,2,CERT,1,KR,18,1,SM-G960N,10,KT,ko_KR,WIFI,-1,<unknown ssid>,KT,0,0,0
21,0,4,0,0,EAIPROGGR0,SM-F926N,99,0,0,50000,10000,11,0,0,0,6,2,1,0,0,0,5,CERT,3,KR,11,1,SM-F926N,11,KT,ko_KR,MOBILE,-1,<unknown ssid>,SKT,0,0,0
21,0,4,3,0,EAIPROGGR0,SM-G977N,99,0,0,50000,10000,11,0,0,0,6,2,1,0,0,0,5,CERT,1,ETC,ETC,1,SM-G977N,11,CMCC,ko_KR,WIFI,-1,<unknown ssid>,ÜÅ÷Áì¹,0,0,0
21,0,4,3,0,EAIPROGGR0,SM-G977N,99,0,0,50000,10000,11,0,0,0,6,2,1,0,0,0,5,CERT,1,ETC,ETC,1,SM-G977N,11,CMCC,ko_KR,WIFI,-1,<unknown ssid>,ÜÅ÷Áì¹,0,0,0
21,0,4,0,0,EAIPROGGR0,SM-G977N,99,0,0,50000,10000,11,0,0,0,6,2,1,0,0,0,5,CERT,2,ETC,ETC,1,SM-G977N,11,CMCC,ko_KR,WIFI,-1,<unknown ssid>,ÜÅ÷Áì¹,0,0,0
21,0,4,0,0,EAOPCA07I0,SM-G977N,8,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,2,2,ETC,ETC,0,N,N,N,N,N,-1,N,N,1,0,0
21,0,4,0,0,EAIPROGGR0,SM-G986N,99,0,0,50000,10000,11,0,0,0,6,2,1,0,0,0,5,CERT,2,KR,11,1,SM-G986N,11,UNICOM,ko_KR,WIFI,-1,<unknown ssid>,China Unicom,1,0,0
21,0,4,0,0,EAOPCA07I0,SM-G986N,8,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,2,1,KR,11,0,N,N,N,N,N,-1,N,N,0,0,0
22,0,5,0,0,EAIPROGGR0,iPhone 7,99,0,0,50000,10000,11,0,3,0,0,2,1,0,0,0,5,CERT,2,KR,11,1,"iPhone9,3",14.7.1,ñé??÷×,ko_KR,CELLULAR,0,N,ñé??÷×,0,0,0
22,0,5,1,45,EAAPWO30I1,N,99,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,6,7,KR,11,0,"iPhone9,3",14.7.1,ñé??÷×,ko_KR,CELLULAR,0,N,ñé??÷×,0,0,0
22,0,5,0,0,EAIPROGGR0,iPhone 7,99,0,0,50000,10000,11,0,3,0,0,2,1,0,0,0,5,CERT,2,KR,11,1,"iPhone9,3",14.7.1,ñé??÷×,ko_KR,CELLULAR,0,N,ñé??÷×,1,0,0
22,0,5,0,0,EAOPCA07I0,iPhone 7,99,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,2,2,KR,11,0,N,N,N,N,N,-1,N,N,0,0,0
22,0,5,0,0,EAIPROGGR0,iPhone XR,99,0,0,50000,10000,11,0,0,1,0,2,1,0,0,0,5,CERT,2,KR,11,2,"iPhone11,8",14.4.2,ñé?ì¹?,ko_KR,WIFI,0,N,ñé?ì¹?,0,0,0
22,0,5,0,0,EAIPROGGR0,iPhone XR,99,0,0,50000,10000,11,0,0,1,0,2,1,0,0,0,5,CERT,2,KR,11,2,"iPhone11,8",14.4.2,ñé?ì¹?,ko_KR,WIFI,0,N,ñé?ì¹?,1,0,0
22,0,5,0,0,EAOPCA07I0,iPhone XR,99,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,2,1,KR,11,0,N,N,N,N,N,-1,N,N,0,0,0
22,0,2,3,0,EAIPROGGR0,iPhone XR,99,0,0,50000,10000,11,0,0,1,0,2,1,0,0,0,5,CERT,1,KR,11,2,"iPhone11,8",14.4.2,ñé?ì¹?,ko_KR,WIFI,0,N,ñé?ì¹?,0,0,0
22,0,2,3,0,EAIPROGGR0,iPhone X,99,0,0,50000,10000,11,0,0,1,0,2,1,0,0,0,5,CERT,1,ETC,ETC,2,"iPhone10,3",14.6,KT,ko_KR,WIFI,0,N,KT,0,0,0
22,0,2,3,0,EAIPROGGR0,iPhone X,99,0,0,50000,10000,11,0,0,1,0,2,1,0,0,0,5,CERT,1,ETC,ETC,2,"iPhone10,3",14.6,KT,ko_KR,WIFI,0,N,KT,1,0,0
22,0,5,0,0,EAIPROGGR0,"iPhone 13,4",99,0,0,50000,10000,11,0,0,1,0,2,1,0,0,0,5,CERT,2,ETC,ETC,1,"iPhone13,4",14.7.1,ñé?ì¹?,ko_KR,WIFI,0,N,ñé?ì¹?,0,0,0
22,0,5,0,0,EAIPROGGR0,"iPhone 13,4",99,0,0,50000,10000,11,0,0,1,0,2,1,0,0,0,5,CERT,2,ETC,ETC,1,"iPhone13,4",14.7.1,ñé?ì¹?,ko_KR,WIFI,0,N,ñé?ì¹?,0,0,0
22,0,5,0,0,EAIPROGGR0,"iPhone 13,4",99,0,0,50000,10000,11,0,0,1,0,1,1,0,0,0,5,CERT,2,ETC,ETC,1,"iPhone13,4",14.7.1,ñé?ì¹?,ko_KR,WIFI,0,N,ñé?ì¹?,1,0,0
22,0,5,0,0,EAOPCA07I0,"iPhone 13,4",99,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,2,1,ETC,ETC,0,N,N,N,N,N,-1,N,N,0,0,0
21,0,4,3,0,EAIPROGGR0,SM-G977N,99,0,0,50000,10000,11,1,3,0,0,2,1,0,0,0,5,CERT,1,KR,14,1,SM-G977N,11,UNICOM,ko_KR,WIFI,-1,<unknown ssid>,China Unicom,1,0,0
21,0,4,3,0,EAIPROGGR0,SM-G973N,99,0,0,50000,10000,11,0,0,0,6,2,1,0,0,0,5,CERT,1,KR,11,1,SM-G973N,10,UNICOM,ko_KR,WIFI,-1,<unknown ssid>,China Unicom,0,0,0
21,0,4,3,0,EAIPROGGR0,SM-G973N,99,0,0,50000,10000,11,0,0,0,6,2,1,0,0,0,5,CERT,1,KR,11,1,SM-G973N,10,UNICOM,ko_KR,WIFI,-1,<unknown ssid>,China Unicom,0,0,0
21,0,4,3,90,EAAPWO30IA,N,99,1467990,88,50000,10000,11,0,0,0,6,2,1,0,0,0,5,CERT,1,KR,11,1,SM-G973N,10,UNICOM,ko_KR,WIFI,-1,<unknown ssid>,China Unicom,0,0,0
22,0,5,0,0,EAOPCA07I0,iPhone 7,99,0,0,0,0,N,0,0,0,0,0,0,0,0,0,2,2,1,KR,11,0,N,N,N,N,N,-1,N,N,0,0,0
